id;start_time;end_time;awake;deep;light
1;1507767480;1507787940;0;127;214
2;1507847280;1507873140;16;132;282
3;1507946460;1507974720;1;185;285
4;1508025480;1508052720;22;121;310
5;1508109660;1508133060;0;160;230
6;1508166540;1508168940;0;0;40
7;1508193600;1508220540;34;132;282
8;1508282640;1508297220;0;120;123
9;1508370720;1508392140;27;137;192
10;1508455320;1508481600;19;146;272
11;1508550180;1508577120;0;143;306
12;1508639940;1508662680;0;157;222
13;1508718060;1508742600;0;189;220
14;1508806020;1508828400;43;92;237
15;1508888760;1508913180;58;210;138
16;1508972580;1509000180;15;147;297
17;1509060120;1509086400;0;171;267
18;1509150120;1509174660;0;128;281
19;1509237720;1509263280;77;170;178
20;1509318360;1509347580;30;180;276
21;1509409440;1509434520;46;165;206
22;1509494640;1509517920;14;97;276
23;1509574560;1509604140;0;206;287
24;1509747300;1509781500;17;188;364
25;1509840240;1509867960;0;144;318
26;1509926940;1509952140;0;118;302
27;1510011360;1510040400;76;128;278
28;1510097460;1510126140;16;180;281
29;1510185720;1510213500;57;182;222
30;1510273260;1510299600;0;149;290
31;1510331700;1510337880;0;38;65
32;1510362120;1510391520;91;128;270
33;1510447500;1510481760;108;179;282
34;1510537080;1510558680;0;150;210
35;1510620120;1510644480;0;165;241
36;1510699680;1510729560;47;161;289
37;1510783560;1510815960;63;168;308
38;1510877580;1510902060;0;136;272
39;1510959960;1510998120;104;108;422
40;1511065680;1511085600;0;141;191
41;1511108340;1511112180;0;21;43
42;1511131560;1511163540;0;223;310
